"","day","ReportingCountry","cases","casesbreakthrough","casesreinf","date"
"202",1005,"ES",15,0,0,2025-01-29
"203",1012,"ES",7,0,0,2025-02-05
"204",1019,"ES",12,0,0,2025-02-12
"205",1026,"ES",16,0,0,2025-02-19
"206",1033,"ES",9,1,0,2025-02-26
"207",1040,"ES",15,0,0,2025-03-05
"208",1047,"ES",13,0,0,2025-03-12
"209",1054,"ES",9,0,0,2025-03-19
"210",1061,"ES",15,0,0,2025-03-26
"211",1068,"ES",7,0,0,2025-04-02
"212",1075,"ES",4,0,0,2025-04-09
"213",1082,"ES",2,0,0,2025-04-16
"214",1089,"ES",4,0,0,2025-04-23
"215",1096,"ES",2,0,0,2025-04-30
"216",1103,"ES",1,0,0,2025-05-07
"217",21,"IE",3,0,0,2022-05-21
"218",28,"IE",7,0,0,2022-05-28
"219",35,"IE",4,1,0,2022-06-04
"220",42,"IE",13,0,0,2022-06-11
"221",49,"IE",11,0,0,2022-06-18
"222",56,"IE",6,0,0,2022-06-25
"223",63,"IE",13,0,0,2022-07-02
"224",70,"IE",10,0,0,2022-07-09
"225",77,"IE",13,1,0,2022-07-16
"226",84,"IE",6,1,0,2022-07-23
"227",91,"IE",4,0,0,2022-07-30
"228",98,"IE",15,1,0,2022-08-06
"229",105,"IE",13,1,0,2022-08-13
"230",112,"IE",16,3,0,2022-08-20
"231",119,"IE",9,3,0,2022-08-27
"232",126,"IE",6,0,0,2022-09-03
"233",133,"IE",4,0,0,2022-09-10
"234",140,"IE",10,0,0,2022-09-17
"235",147,"IE",9,1,0,2022-09-24
"236",154,"IE",3,0,0,2022-10-01
"237",161,"IE",2,0,0,2022-10-08
"238",168,"IE",4,0,0,2022-10-15
"239",175,"IE",2,0,0,2022-10-22
"240",190,"IE",3,0,0,2022-11-06
"241",197,"IE",3,0,0,2022-11-13
"242",204,"IE",2,0,0,2022-11-20
"243",211,"IE",2,0,0,2022-11-27
"244",218,"IE",1,0,0,2022-12-04
"245",232,"IE",1,0,0,2022-12-18
"246",253,"IE",1,0,0,2023-01-08
"247",260,"IE",1,0,0,2023-01-15
"248",344,"IE",1,0,0,2023-04-09
"249",470,"IE",2,0,0,2023-08-13
"250",477,"IE",2,1,0,2023-08-20
"251",484,"IE",1,0,0,2023-08-27
"252",526,"IE",1,0,0,2023-10-08
"253",555,"IE",1,0,0,2023-11-06
"254",639,"IE",1,1,0,2024-01-29
"255",744,"IE",1,0,0,2024-05-13
"256",773,"IE",1,0,0,2024-06-11
"257",787,"IE",1,0,0,2024-06-25
